function_rank,function_share,cumulative_bugfix_share
326,0.0073358986475843295,0.035630992485099766
327,0.0073584014041720115,0.03627882871210158
328,0.007380904160759693,0.03679709769370303
329,0.007403406917347375,0.0369266649391034
330,0.007425909673935057,0.037056232184503754
331,0.007448412430522739,0.03718579942990412
332,0.007470915187110421,0.03731536667530448
333,0.007493417943698103,0.03731536667530448
334,0.007515920700285785,0.03731536667530448
335,0.007538423456873467,0.03731536667530448
336,0.007560926213461149,0.03731536667530448
337,0.007583428970048831,0.03731536667530448
338,0.007605931726636513,0.03731536667530448
339,0.007628434483224195,0.03731536667530448
340,0.007650937239811877,0.03731536667530448
341,0.007673439996399559,0.03731536667530448
342,0.007695942752987241,0.03731536667530448
343,0.007718445509574923,0.03770406841150557
344,0.007740948266162605,0.037963202902306294
345,0.007763451022750287,0.03822233739310702
346,0.007785953779337969,0.038351904638507385
347,0.007808456535925651,0.03848147188390775
348,0.007830959292513333,0.03861103912930811
349,0.007853462049101015,0.03861103912930811
350,0.007875964805688697,0.03861103912930811
351,0.00789846756227638,0.03861103912930811
352,0.007920970318864061,0.03861103912930811
353,0.007943473075451743,0.03861103912930811
354,0.007965975832039425,0.03861103912930811
355,0.007988478588627107,0.03861103912930811
356,0.00801098134521479,0.03861103912930811
357,0.008033484101802471,0.0389997408655092
358,0.008055986858390153,0.03912930811090956
359,0.008078489614977835,0.039258875356309925
360,0.008100992371565518,0.039258875356309925
361,0.0081234951281532,0.039258875356309925
362,0.008145997884740882,0.039258875356309925
363,0.008168500641328564,0.039258875356309925
364,0.008191003397916244,0.039258875356309925
365,0.008213506154503926,0.039258875356309925
366,0.008236008911091608,0.039258875356309925
367,0.00825851166767929,0.039258875356309925
368,0.008281014424266972,0.039258875356309925
369,0.008303517180854654,0.039258875356309925
370,0.008326019937442336,0.039258875356309925
371,0.008348522694030018,0.03977714433791137
372,0.0083710254506177,0.03990671158331174
373,0.008393528207205382,0.03990671158331174
374,0.008416030963793064,0.03990671158331174
375,0.008438533720380746,0.03990671158331174
376,0.008461036476968428,0.04068411505571391
377,0.00848353923355611,0.04133195128271573
378,0.008506041990143792,0.04185022026431718
379,0.008528544746731474,0.04223892200051827
380,0.008551047503319156,0.042627623736719356
381,0.008573550259906838,0.04288675822752008
382,0.00859605301649452,0.04301632547292045
383,0.008618555773082202,0.04314589271832081
384,0.008641058529669884,0.043275459963721175
385,0.008663561286257566,0.04340502720912153
386,0.008686064042845248,0.04340502720912153
387,0.00870856679943293,0.04340502720912153
388,0.008731069556020613,0.04340502720912153
389,0.008753572312608295,0.04340502720912153
390,0.008776075069195977,0.04340502720912153
391,0.008798577825783659,0.04340502720912153
392,0.00882108058237134,0.04340502720912153
393,0.008843583338959023,0.04340502720912153
394,0.008866086095546705,0.04340502720912153
395,0.008888588852134387,0.04340502720912153
396,0.008911091608722069,0.04340502720912153
397,0.00893359436530975,0.04340502720912153
398,0.008956097121897433,0.04340502720912153
399,0.008978599878485115,0.04340502720912153
400,0.009001102635072797,0.04340502720912153
401,0.009023605391660479,0.04379372894532262
402,0.009046108148248161,0.044182430681523714
403,0.009068610904835843,0.044441565172324435
404,0.009091113661423525,0.04470069966312516
405,0.009113616418011207,0.044830266908525526
406,0.009136119174598889,0.04495983415392589
407,0.009158621931186571,0.04508940139932625
408,0.009181124687774253,0.04508940139932625
409,0.009203627444361935,0.04508940139932625
410,0.009226130200949617,0.04508940139932625
411,0.0092486329575373,0.04508940139932625
412,0.009271135714124981,0.04508940139932625
413,0.009293638470712661,0.04508940139932625
414,0.009316141227300343,0.04508940139932625
415,0.009338643983888026,0.04508940139932625
416,0.009361146740475708,0.04508940139932625
417,0.00938364949706339,0.04508940139932625
418,0.009406152253651072,0.04508940139932625
419,0.009428655010238754,0.04508940139932625
420,0.009451157766826436,0.04508940139932625
421,0.009473660523414118,0.04508940139932625
422,0.0094961632800018,0.04612593936252915
423,0.009518666036589482,0.04651464109873024
424,0.009541168793177164,0.046903342834931326
425,0.009563671549764846,0.047162477325732054
426,0.009586174306352528,0.04742161181653278
427,0.00960867706294021,0.04768074630733351
428,0.009631179819527892,0.047810313552733866
429,0.009653682576115574,0.04793988079813423
430,0.009676185332703256,0.04793988079813423
431,0.009698688089290938,0.04793988079813423
432,0.00972119084587862,0.04793988079813423
433,0.009743693602466302,0.04793988079813423
434,0.009766196359053984,0.04793988079813423
435,0.009788699115641666,0.04793988079813423
436,0.009811201872229348,0.04793988079813423
437,0.00983370462881703,0.04793988079813423
438,0.009856207385404712,0.04793988079813423
439,0.009878710141992394,0.04793988079813423
440,0.009901212898580076,0.04793988079813423
441,0.009923715655167758,0.04793988079813423
442,0.00994621841175544,0.04793988079813423
443,0.009968721168343122,0.04793988079813423
444,0.009991223924930804,0.04793988079813423
445,0.010013726681518486,0.04793988079813423
446,0.010036229438106168,0.04858771702513605
447,0.01005873219469385,0.04897641876133713
448,0.010081234951281532,0.049365120497538224
449,0.010103737707869214,0.04949468774293859
450,0.010126240464456896,0.049624254988338945
451,0.010148743221044578,0.04975382223373931
452,0.01017124597763226,0.04988338947913967
453,0.010193748734219943,0.04988338947913967
454,0.010216251490807625,0.04988338947913967
455,0.010238754247395307,0.04988338947913967
456,0.010261257003982989,0.04988338947913967
457,0.01028375976057067,0.04988338947913967
458,0.010306262517158353,0.04988338947913967
459,0.010328765273746035,0.04988338947913967
460,0.010351268030333717,0.04988338947913967
461,0.010373770786921397,0.04988338947913967
462,0.010396273543509079,0.04988338947913967
463,0.010418776300096761,0.04988338947913967
464,0.010441279056684443,0.04988338947913967
465,0.010463781813272125,0.04988338947913967
466,0.010486284569859807,0.04988338947913967
467,0.01050878732644749,0.04988338947913967
468,0.010531290083035171,0.04988338947913967
469,0.010553792839622853,0.050919927442342576
470,0.010576295596210535,0.051438196423944024
471,0.010598798352798217,0.05195646540554548
472,0.0106213011093859,0.052345167141746564
473,0.010643803865973581,0.05260430163254729
474,0.010666306622561263,0.05286343612334802
475,0.010688809379148945,0.05299300336874838
476,0.010711312135736627,0.05312257061414875
477,0.01073381489232431,0.053252137859549104
478,0.010756317648911991,0.05338170510494947
479,0.010778820405499673,0.05351127235034983
480,0.010801323162087356,0.053640839595750195
481,0.010823825918675038,0.05377040684115056
482,0.01084632867526272,0.05389997408655092
483,0.010868831431850402,0.05402954133195128
484,0.010891334188438084,0.05415910857735164
485,0.010913836945025766,0.05428867582275201
486,0.010936339701613448,0.05428867582275201
487,0.01095884245820113,0.05428867582275201
488,0.010981345214788812,0.05428867582275201
489,0.011003847971376494,0.05428867582275201
490,0.011026350727964176,0.05428867582275201
491,0.011048853484551858,0.05428867582275201
492,0.01107135624113954,0.05428867582275201
493,0.011093858997727222,0.05428867582275201
494,0.011116361754314904,0.05428867582275201
495,0.011138864510902586,0.05428867582275201
496,0.011161367267490268,0.05428867582275201
497,0.01118387002407795,0.05428867582275201
498,0.011206372780665632,0.05428867582275201
499,0.011228875537253314,0.05428867582275201
500,0.011251378293840996,0.05428867582275201
501,0.011273881050428678,0.05428867582275201
502,0.01129638380701636,0.0546773775589531
503,0.011318886563604042,0.05506607929515418
504,0.011341389320191724,0.055454781031355274
505,0.011363892076779406,0.055713915522156
506,0.011386394833367088,0.05597305001295672
507,0.01140889758995477,0.056102617258357086
508,0.011431400346542452,0.05623218450375745
